# Time-averaged data for fix pressrun
# TimeStep v_P
252000 1221.99
253000 1234.54
254000 1240.18
255000 1237.88
256000 1237.57
257000 1240.08
258000 1238.28
259000 1236.53
260000 1237.08
261000 1234.95
262000 1233.68
263000 1235.48
264000 1236.29
265000 1237.01
266000 1236.47
267000 1235.54
268000 1236.25
269000 1235.34
270000 1235.16
271000 1236.16
272000 1234.99
273000 1235.35
274000 1235.12
275000 1235
276000 1234.66
277000 1234.78
278000 1234.72
279000 1234.8
280000 1235.13
281000 1234.31
282000 1234.4
283000 1234.86
284000 1234.23
285000 1234.56
286000 1234.66
287000 1235.01
288000 1235.62
289000 1235.42
290000 1235.95
291000 1236.07
292000 1236.14
293000 1236.16
294000 1236.43
295000 1236.59
296000 1236.28
297000 1236.52
298000 1236.76
299000 1236.75
300000 1237.01
301000 1237.33
302000 1237.27
303000 1237.15
304000 1236.65
305000 1236.46
306000 1236.77
307000 1236.72
308000 1236.82
309000 1236.88
310000 1236.74
311000 1237.05
312000 1237.44
313000 1237.75
314000 1237.91
315000 1237.89
316000 1237.92
317000 1237.73
318000 1237.47
319000 1237.28
320000 1237.43
321000 1237.4
322000 1237.42
323000 1237.68
324000 1237.79
325000 1237.91
326000 1237.85
327000 1237.86
328000 1238.04
329000 1238.13
330000 1238.03
331000 1237.97
332000 1237.89
333000 1237.65
334000 1237.69
335000 1237.69
336000 1237.63
337000 1237.63
338000 1237.7
339000 1237.57
340000 1237.66
341000 1237.72
342000 1237.92
343000 1238.08
344000 1238.06
345000 1238.18
346000 1238.22
347000 1237.94
348000 1238.04
349000 1237.9
350000 1237.92
351000 1237.96
352000 1237.99
353000 1237.83
354000 1237.89
355000 1237.93
356000 1237.83
357000 1238.03
358000 1237.97
359000 1237.77
360000 1237.84
361000 1237.9
362000 1238.01
363000 1238.24
364000 1238.24
365000 1238.01
366000 1238.12
367000 1238.08
368000 1238.06
369000 1237.98
370000 1238
371000 1237.99
372000 1237.96
373000 1238.03
374000 1238.07
375000 1238.03
376000 1237.98
377000 1237.94
378000 1237.84
379000 1237.92
380000 1237.93
381000 1237.96
382000 1238
383000 1238.16
384000 1238.29
385000 1238.41
386000 1238.39
387000 1238.51
388000 1238.53
389000 1238.59
390000 1238.79
391000 1238.94
392000 1238.87
393000 1238.94
394000 1239.12
395000 1239.13
396000 1239.05
397000 1239.11
398000 1239.06
399000 1239.01
400000 1238.96
401000 1238.98
402000 1238.89
403000 1238.92
404000 1238.93
405000 1238.94
406000 1238.95
407000 1239
408000 1238.97
409000 1239.01
410000 1239.08
411000 1239.04
412000 1239.02
413000 1239.15
414000 1239.06
415000 1239.06
416000 1239.18
417000 1239.18
418000 1239.2
419000 1239.15
420000 1239.17
421000 1239.16
422000 1239.17
423000 1239.21
424000 1239.13
425000 1239.33
426000 1239.3
427000 1239.22
428000 1239.23
429000 1239.32
430000 1239.42
431000 1239.45
432000 1239.56
433000 1239.46
434000 1239.52
435000 1239.47
436000 1239.44
437000 1239.5
438000 1239.47
439000 1239.45
440000 1239.41
441000 1239.45
442000 1239.42
443000 1239.45
444000 1239.53
445000 1239.5
446000 1239.41
447000 1239.51
448000 1239.53
