# Time-averaged data for fix energyrun
# TimeStep v_U
252000 52.4567
253000 52.4132
254000 52.575
255000 52.5415
256000 52.5417
257000 52.4823
258000 52.4748
259000 52.5398
260000 52.5793
261000 52.6256
262000 52.613
263000 52.6028
264000 52.6136
265000 52.6143
266000 52.624
267000 52.6335
268000 52.6208
269000 52.5939
270000 52.6001
271000 52.5876
272000 52.6079
273000 52.5811
274000 52.5903
275000 52.5904
276000 52.5936
277000 52.5755
278000 52.5668
279000 52.574
280000 52.5838
281000 52.579
282000 52.5797
283000 52.5913
284000 52.5901
285000 52.5801
286000 52.5821
287000 52.5732
288000 52.5687
289000 52.5583
290000 52.5497
291000 52.5537
292000 52.557
293000 52.5658
294000 52.5568
295000 52.5551
296000 52.5632
297000 52.5607
298000 52.5623
299000 52.5514
300000 52.5411
301000 52.5451
302000 52.5401
303000 52.5398
304000 52.5459
305000 52.5462
306000 52.54
307000 52.5397
308000 52.5339
309000 52.5272
310000 52.528
311000 52.5312
312000 52.5354
313000 52.5383
314000 52.5362
315000 52.5397
316000 52.539
317000 52.5309
318000 52.5414
319000 52.5405
320000 52.5453
321000 52.5419
322000 52.544
323000 52.541
324000 52.5373
325000 52.544
326000 52.5422
327000 52.5468
328000 52.5506
329000 52.5479
330000 52.5481
331000 52.5492
332000 52.5545
333000 52.5499
334000 52.5458
335000 52.5427
336000 52.5412
337000 52.5433
338000 52.5472
339000 52.5464
340000 52.542
341000 52.5421
342000 52.5439
343000 52.5438
344000 52.5447
345000 52.5447
346000 52.5453
347000 52.5408
348000 52.5425
349000 52.5413
350000 52.5433
351000 52.5424
352000 52.5413
353000 52.5439
354000 52.5446
355000 52.541
356000 52.5414
357000 52.5466
358000 52.5433
359000 52.5433
360000 52.5445
361000 52.5398
362000 52.539
363000 52.5371
364000 52.5389
365000 52.5364
366000 52.5356
367000 52.5318
368000 52.5285
369000 52.5275
370000 52.5252
371000 52.5282
372000 52.5295
373000 52.5337
374000 52.5325
375000 52.531
376000 52.5328
377000 52.5306
378000 52.5301
379000 52.5283
380000 52.5272
381000 52.5238
382000 52.523
383000 52.5237
384000 52.5214
385000 52.5234
386000 52.524
387000 52.5243
388000 52.5223
389000 52.5226
390000 52.5242
391000 52.527
392000 52.5273
393000 52.5258
394000 52.5267
395000 52.528
396000 52.5283
397000 52.5298
398000 52.5329
399000 52.5324
400000 52.5291
401000 52.5345
402000 52.5341
403000 52.5343
404000 52.5344
405000 52.533
406000 52.5306
407000 52.5284
408000 52.5305
409000 52.5342
410000 52.5347
411000 52.5337
412000 52.5346
413000 52.5342
414000 52.5342
415000 52.5328
416000 52.5332
417000 52.5326
418000 52.5361
419000 52.5354
420000 52.5346
421000 52.5316
422000 52.531
423000 52.5332
424000 52.5277
425000 52.527
426000 52.5266
427000 52.5281
428000 52.5267
429000 52.5266
430000 52.5259
431000 52.5266
432000 52.5278
433000 52.528
434000 52.5264
435000 52.5278
436000 52.5257
437000 52.5262
438000 52.5255
439000 52.5266
440000 52.5247
441000 52.5272
442000 52.5281
443000 52.5289
444000 52.5288
445000 52.5278
446000 52.5297
447000 52.5263
448000 52.527
449000 52.5254
450000 52.5258
451000 52.5283
452000 52.5262
453000 52.526
454000 52.5273
455000 52.526
456000 52.5254
457000 52.5281
458000 52.5277
459000 52.529
460000 52.5288
461000 52.529
462000 52.5291
463000 52.5305
464000 52.53
465000 52.5299
466000 52.5288
467000 52.53
468000 52.5284
469000 52.5292
470000 52.5316
471000 52.5304
472000 52.5308
473000 52.5287
474000 52.5287
475000 52.5282
476000 52.5274
477000 52.5291
478000 52.5306
479000 52.5313
480000 52.5319
481000 52.5318
482000 52.5311
483000 52.5304
484000 52.5321
485000 52.5315
486000 52.5324
487000 52.5316
488000 52.5324
489000 52.5311
490000 52.5305
491000 52.5291
492000 52.5302
493000 52.5299
494000 52.5275
495000 52.5259
496000 52.5255
497000 52.5251
498000 52.5255
499000 52.5265
500000 52.5267
501000 52.527
502000 52.5296
503000 52.5292
504000 52.5274
505000 52.5286
506000 52.5283
507000 52.5273
508000 52.5278
509000 52.5284
510000 52.5264
511000 52.5255
512000 52.5258
513000 52.5266
514000 52.5261
515000 52.5263
516000 52.5284
517000 52.5277
518000 52.527
519000 52.5261
520000 52.5261
521000 52.525
522000 52.5257
523000 52.5259
524000 52.5257
525000 52.5243
526000 52.5235
527000 52.5234
528000 52.5226
529000 52.5215
530000 52.5226
531000 52.5232
532000 52.5225
533000 52.5231
534000 52.5237
535000 52.5225
536000 52.5221
537000 52.5229
538000 52.5237
539000 52.5235
540000 52.5241
541000 52.5238
542000 52.5229
543000 52.5228
544000 52.5234
545000 52.5234
546000 52.5242
547000 52.5254
548000 52.5248
549000 52.5263
550000 52.525
551000 52.5233
552000 52.5242
553000 52.5254
554000 52.5256
555000 52.5273
556000 52.528
557000 52.5284
558000 52.5282
559000 52.5272
560000 52.5284
561000 52.5281
562000 52.5278
563000 52.5272
564000 52.5262
565000 52.5257
566000 52.525
567000 52.5247
568000 52.5241
569000 52.5243
570000 52.5247
