# Time-averaged data for fix energyrun
# TimeStep v_U
202000 -16.9429
203000 -16.8397
204000 -16.8308
205000 -16.8913
206000 -16.8347
207000 -16.861
208000 -16.889
209000 -16.9904
210000 -16.984
211000 -16.9379
212000 -16.9251
213000 -16.9125
214000 -16.8484
215000 -16.8463
216000 -16.8508
217000 -16.8639
218000 -16.9031
219000 -16.9176
220000 -16.969
221000 -16.979
222000 -16.9946
223000 -17.0223
224000 -17.0351
225000 -17.0646
226000 -17.0896
227000 -17.0947
228000 -17.078
229000 -17.0586
230000 -17.071
231000 -17.0829
232000 -17.0899
233000 -17.1174
234000 -17.1491
235000 -17.1564
236000 -17.1624
237000 -17.1616
238000 -17.1633
239000 -17.1494
240000 -17.1628
241000 -17.1624
242000 -17.1534
243000 -17.1533
244000 -17.1764
245000 -17.1783
246000 -17.1855
247000 -17.2103
248000 -17.2203
249000 -17.2416
250000 -17.2593
251000 -17.2604
252000 -17.2654
253000 -17.2618
254000 -17.2642
255000 -17.274
256000 -17.2664
257000 -17.2565
258000 -17.2443
259000 -17.2236
260000 -17.2078
261000 -17.1964
262000 -17.1855
263000 -17.1724
264000 -17.1634
265000 -17.1546
266000 -17.1543
267000 -17.1531
268000 -17.1554
269000 -17.1589
270000 -17.1616
271000 -17.1826
272000 -17.2015
273000 -17.2119
274000 -17.2206
275000 -17.2173
276000 -17.2153
277000 -17.2135
278000 -17.2116
279000 -17.2017
280000 -17.1975
281000 -17.1838
282000 -17.1739
283000 -17.1673
284000 -17.1687
285000 -17.1673
286000 -17.1683
287000 -17.1731
288000 -17.1832
289000 -17.1942
290000 -17.2014
291000 -17.2045
292000 -17.1999
293000 -17.1991
294000 -17.1942
295000 -17.194
296000 -17.1937
297000 -17.1985
298000 -17.2086
299000 -17.2172
300000 -17.2204
301000 -17.2244
302000 -17.2308
303000 -17.2316
304000 -17.2345
305000 -17.243
306000 -17.2474
307000 -17.2524
308000 -17.2522
309000 -17.2586
310000 -17.2609
311000 -17.2652
312000 -17.2665
313000 -17.2716
314000 -17.2778
315000 -17.2797
316000 -17.2789
317000 -17.2787
318000 -17.2769
319000 -17.2739
320000 -17.2687
321000 -17.2675
322000 -17.2652
323000 -17.2653
324000 -17.2564
325000 -17.2461
326000 -17.2401
327000 -17.2428
328000 -17.2383
329000 -17.2309
330000 -17.2288
331000 -17.2258
332000 -17.2236
333000 -17.2277
334000 -17.2292
335000 -17.2276
336000 -17.2214
337000 -17.2206
338000 -17.2194
339000 -17.2181
340000 -17.2179
341000 -17.2181
342000 -17.2147
343000 -17.2083
344000 -17.205
345000 -17.2043
346000 -17.2068
347000 -17.2033
348000 -17.1934
349000 -17.1861
350000 -17.1773
351000 -17.1724
352000 -17.1644
353000 -17.1557
354000 -17.1463
355000 -17.1378
356000 -17.1286
357000 -17.1228
358000 -17.1172
359000 -17.1155
360000 -17.115
361000 -17.1116
362000 -17.1104
363000 -17.1101
364000 -17.1078
365000 -17.1037
366000 -17.1042
367000 -17.1034
368000 -17.1028
369000 -17.0979
370000 -17.0935
371000 -17.0892
372000 -17.0824
373000 -17.0787
374000 -17.0761
375000 -17.0726
376000 -17.0689
377000 -17.0656
378000 -17.0644
379000 -17.0651
380000 -17.0668
381000 -17.0704
382000 -17.0715
383000 -17.0717
384000 -17.0713
385000 -17.0737
386000 -17.0741
387000 -17.0724
388000 -17.0735
389000 -17.0732
390000 -17.0747
391000 -17.0776
392000 -17.0769
393000 -17.0779
394000 -17.0798
395000 -17.0817
396000 -17.0798
397000 -17.0786
398000 -17.0775
399000 -17.0768
400000 -17.0745
401000 -17.0744
402000 -17.074
403000 -17.0722
404000 -17.0709
405000 -17.0682
406000 -17.0671
407000 -17.0657
408000 -17.0648
409000 -17.0663
410000 -17.0688
411000 -17.0702
412000 -17.0728
413000 -17.0762
414000 -17.0828
415000 -17.0901
416000 -17.0926
417000 -17.0927
418000 -17.0946
419000 -17.0977
420000 -17.0973
421000 -17.0993
422000 -17.1032
423000 -17.1067
424000 -17.1098
425000 -17.1119
426000 -17.1123
427000 -17.112
428000 -17.1101
429000 -17.1115
430000 -17.113
431000 -17.113
432000 -17.1114
433000 -17.112
434000 -17.1136
435000 -17.1153
436000 -17.1167
437000 -17.1195
438000 -17.1231
439000 -17.1254
440000 -17.1254
441000 -17.1233
442000 -17.119
443000 -17.114
444000 -17.1112
445000 -17.1086
446000 -17.1046
447000 -17.0998
448000 -17.0915
449000 -17.0859
450000 -17.081
451000 -17.0778
452000 -17.0768
453000 -17.0781
454000 -17.0775
455000 -17.08
456000 -17.0803
457000 -17.0774
458000 -17.0739
459000 -17.0699
460000 -17.0667
461000 -17.0616
462000 -17.0559
463000 -17.0491
464000 -17.0437
465000 -17.0374
466000 -17.0333
467000 -17.029
468000 -17.028
469000 -17.026
470000 -17.0246
471000 -17.0256
472000 -17.0234
473000 -17.0206
474000 -17.0182
475000 -17.0153
476000 -17.0129
477000 -17.0112
478000 -17.0091
479000 -17.0063
480000 -17.0057
481000 -17.0036
482000 -17.0024
483000 -17.0005
484000 -16.9999
485000 -17.0012
486000 -17.0042
487000 -17.0045
488000 -17.0044
489000 -17.0033
490000 -17.0009
491000 -16.9998
492000 -16.9992
493000 -17.0002
494000 -16.9991
495000 -16.998
496000 -16.9967
497000 -16.996
498000 -16.9962
499000 -16.9986
500000 -17.0011
501000 -17.0013
502000 -17.0009
503000 -16.9997
504000 -17.0005
505000 -17.003
506000 -17.0062
507000 -17.0084
508000 -17.0117
509000 -17.0126
510000 -17.0129
511000 -17.0104
512000 -17.0071
513000 -17.0054
514000 -17.0013
515000 -16.9994
516000 -16.9973
517000 -16.9951
518000 -16.9924
519000 -16.9899
520000 -16.9866
521000 -16.9825
522000 -16.9805
523000 -16.9777
524000 -16.9745
525000 -16.9736
526000 -16.9729
527000 -16.9738
528000 -16.9739
529000 -16.974
530000 -16.9729
531000 -16.9713
532000 -16.9671
533000 -16.9638
534000 -16.9611
535000 -16.9586
536000 -16.9554
537000 -16.9528
538000 -16.9512
539000 -16.95
540000 -16.946
541000 -16.9421
542000 -16.9383
543000 -16.9354
544000 -16.9321
545000 -16.9302
546000 -16.9284
547000 -16.9268
548000 -16.925
549000 -16.9224
550000 -16.9207
551000 -16.9211
552000 -16.9199
553000 -16.9214
554000 -16.9214
555000 -16.9212
556000 -16.9229
557000 -16.9244
558000 -16.9255
559000 -16.9254
560000 -16.9235
561000 -16.921
562000 -16.9169
563000 -16.9146
564000 -16.9105
565000 -16.9086
566000 -16.9075
567000 -16.9069
568000 -16.9082
569000 -16.9093
570000 -16.9096
571000 -16.91
572000 -16.9105
573000 -16.91
574000 -16.9081
575000 -16.907
576000 -16.9063
577000 -16.9052
578000 -16.9035
579000 -16.9019
580000 -16.8992
581000 -16.8979
582000 -16.898
583000 -16.899
584000 -16.8982
585000 -16.8981
586000 -16.8985
587000 -16.8995
588000 -16.9026
589000 -16.9042
590000 -16.9053
591000 -16.9061
592000 -16.9076
593000 -16.9074
594000 -16.906
595000 -16.9048
596000 -16.9036
597000 -16.901
598000 -16.9004
599000 -16.9009
600000 -16.9015
601000 -16.9024
602000 -16.9012
603000 -16.8994
604000 -16.8979
605000 -16.895
606000 -16.8932
607000 -16.8932
608000 -16.8928
609000 -16.8923
610000 -16.8904
611000 -16.8894
612000 -16.8883
613000 -16.8893
614000 -16.888
615000 -16.8873
616000 -16.8883
617000 -16.8884
618000 -16.8892
619000 -16.8907
620000 -16.8905
621000 -16.8894
622000 -16.8898
623000 -16.8886
624000 -16.8873
625000 -16.8864
626000 -16.8878
627000 -16.888
628000 -16.8866
629000 -16.8845
630000 -16.8826
631000 -16.8818
632000 -16.8807
633000 -16.8782
634000 -16.8768
635000 -16.8768
636000 -16.8786
637000 -16.8794
638000 -16.8802
639000 -16.8785
640000 -16.8778
641000 -16.8771
642000 -16.8739
643000 -16.8733
644000 -16.8731
645000 -16.8727
646000 -16.8731
647000 -16.8746
648000 -16.8768
649000 -16.8792
650000 -16.8814
651000 -16.8808
652000 -16.8811
653000 -16.8803
654000 -16.8806
655000 -16.8799
656000 -16.8806
657000 -16.8816
658000 -16.8824
659000 -16.8851
660000 -16.8851
661000 -16.8848
662000 -16.8854
663000 -16.8868
664000 -16.8878
665000 -16.8886
666000 -16.889
667000 -16.8905
668000 -16.8933
669000 -16.8941
670000 -16.8963
671000 -16.8975
672000 -16.899
673000 -16.8999
674000 -16.8998
675000 -16.8982
676000 -16.8986
677000 -16.8988
678000 -16.8988
679000 -16.8976
680000 -16.8973
681000 -16.8967
682000 -16.8951
683000 -16.893
684000 -16.8912
685000 -16.8902
686000 -16.8905
687000 -16.8904
688000 -16.8898
689000 -16.8893
690000 -16.8885
691000 -16.8879
692000 -16.8891
693000 -16.8892
694000 -16.8897
695000 -16.89
696000 -16.8909
697000 -16.8939
698000 -16.8972
699000 -16.9008
700000 -16.9047
701000 -16.9078
702000 -16.9108
703000 -16.9136
704000 -16.9155
705000 -16.9169
706000 -16.9186
707000 -16.9193
708000 -16.9198
709000 -16.9206
710000 -16.9202
711000 -16.9197
712000 -16.9203
713000 -16.9198
714000 -16.9201
715000 -16.9212
716000 -16.922
717000 -16.923
718000 -16.9231
719000 -16.9248
720000 -16.927
721000 -16.9282
722000 -16.9289
723000 -16.9302
724000 -16.9319
725000 -16.9338
726000 -16.9368
727000 -16.9392
728000 -16.9411
729000 -16.9429
730000 -16.9425
731000 -16.9426
732000 -16.9425
733000 -16.9432
734000 -16.9435
735000 -16.9431
736000 -16.9429
737000 -16.9421
738000 -16.9425
739000 -16.942
