# Time-averaged data for fix pressrun
# TimeStep v_P
202000 65.8285
203000 65.117
204000 60.2838
205000 62.51
206000 66.163
207000 67.0542
208000 63.8644
209000 60.7286
210000 61.8812
211000 61.7381
212000 62.6868
213000 62.663
214000 63.703
215000 64.0416
216000 64.1996
217000 61.705
218000 61.5894
219000 61.6915
220000 62.8109
221000 62.9793
222000 62.5162
223000 62.7588
224000 62.1271
225000 62.2805
226000 62.7439
227000 62.6886
228000 62.6631
229000 62.4315
230000 63.3921
231000 63.8263
232000 63.3353
233000 64.2058
234000 64.4454
235000 65.0463
236000 65.0045
237000 65.1139
238000 65.6755
239000 65.737
240000 66.0855
241000 66.2766
242000 66.705
243000 66.7501
244000 66.0913
245000 66.1204
246000 66.3467
247000 66.0307
248000 66.2689
249000 66.0889
250000 65.9549
251000 66.6311
252000 66.872
253000 66.703
254000 66.538
255000 66.2498
256000 66.1758
257000 65.929
258000 66.1046
259000 66.0813
260000 66.0024
261000 65.9419
262000 66.2434
263000 65.7864
264000 65.6765
265000 65.7246
266000 65.7911
267000 65.4268
268000 65.2165
269000 65.1286
270000 65.24
271000 64.9706
272000 65.034
273000 65.2871
274000 65.2201
275000 64.932
276000 65.1932
277000 65.1388
278000 65.0591
279000 65.0479
280000 64.9173
281000 65.0369
282000 65.2613
283000 65.2338
284000 65.1973
285000 65.3145
286000 65.3777
287000 65.3802
288000 65.4221
289000 65.6771
290000 65.504
291000 65.6174
292000 65.5548
293000 65.5329
294000 65.5087
295000 65.4627
296000 65.4661
297000 65.5925
298000 65.5678
299000 65.6077
300000 65.5608
301000 65.5486
302000 65.5621
303000 65.5373
304000 65.458
305000 65.3031
306000 65.4955
307000 65.6101
308000 65.6119
309000 65.5319
310000 65.5249
311000 65.6101
312000 65.6939
313000 65.6938
314000 65.6568
315000 65.7075
316000 65.7039
317000 65.6584
318000 65.5434
319000 65.4934
320000 65.4373
321000 65.4106
322000 65.4649
323000 65.2926
324000 65.1255
325000 65.1766
326000 65.1634
327000 65.1753
328000 65.2999
329000 65.3124
330000 65.3014
331000 65.3433
332000 65.4017
333000 65.4221
334000 65.4995
335000 65.584
336000 65.4929
337000 65.5509
338000 65.5035
339000 65.3911
340000 65.3496
341000 65.3168
342000 65.2401
343000 65.2076
344000 65.1433
345000 65.1179
346000 65.1536
347000 65.2092
348000 65.0758
349000 65.0443
350000 64.8929
351000 65.0631
352000 65.0079
353000 65.1162
354000 65.0103
355000 65.0665
356000 65.0421
357000 64.9953
358000 64.8856
359000 64.8588
360000 64.8173
361000 64.8513
362000 64.8831
363000 64.8598
364000 64.8485
365000 64.8366
366000 64.7816
367000 64.7342
368000 64.7148
369000 64.7009
370000 64.6944
371000 64.7622
372000 64.665
373000 64.7363
374000 64.7308
375000 64.7683
376000 64.7159
377000 64.742
378000 64.7568
379000 64.7401
380000 64.7228
381000 64.8345
382000 64.6857
383000 64.7424
384000 64.7499
385000 64.7586
386000 64.7748
387000 64.8124
388000 64.7669
389000 64.8535
390000 64.8493
391000 65.0014
392000 65.0426
393000 64.9579
394000 64.9252
395000 65.0093
396000 65.0536
397000 65.1241
398000 65.1431
399000 65.2993
400000 65.2791
401000 65.2389
402000 65.2242
403000 65.1787
404000 65.1944
405000 65.1574
406000 65.2282
407000 65.217
408000 65.1236
409000 65.1262
410000 65.2557
411000 65.272
412000 65.2662
413000 65.2042
414000 65.195
415000 65.1925
416000 65.0928
417000 65.0405
418000 65.0581
419000 65.0215
420000 64.9648
421000 64.9012
422000 64.8738
423000 64.8953
424000 64.756
425000 64.7403
426000 64.7456
427000 64.6085
428000 64.6032
429000 64.5604
430000 64.5595
431000 64.5605
432000 64.5341
433000 64.5395
434000 64.5383
435000 64.5207
436000 64.5665
437000 64.5476
438000 64.5651
439000 64.5392
440000 64.4997
441000 64.6284
442000 64.652
443000 64.5853
444000 64.5969
445000 64.5793
446000 64.594
447000 64.6834
448000 64.6791
449000 64.6025
450000 64.5992
451000 64.5545
452000 64.5734
453000 64.5767
454000 64.5177
455000 64.5152
456000 64.5042
457000 64.5153
458000 64.4942
459000 64.5324
460000 64.482
461000 64.4356
462000 64.4393
463000 64.4537
464000 64.506
465000 64.4828
466000 64.4222
467000 64.411
468000 64.3917
469000 64.3932
470000 64.3195
471000 64.3765
472000 64.3666
473000 64.3261
474000 64.2847
475000 64.2895
476000 64.4092
477000 64.4334
478000 64.4773
479000 64.4434
480000 64.4514
481000 64.4938
482000 64.4069
483000 64.4079
484000 64.3898
485000 64.4812
486000 64.5409
487000 64.5169
488000 64.5041
489000 64.4715
490000 64.4951
491000 64.5296
492000 64.5513
493000 64.5343
494000 64.6083
495000 64.5856
496000 64.5747
497000 64.5365
498000 64.4631
499000 64.4684
500000 64.4119
501000 64.44
502000 64.5068
503000 64.3966
504000 64.4384
505000 64.4001
506000 64.3621
507000 64.3711
508000 64.401
509000 64.3881
510000 64.4317
511000 64.4336
512000 64.4411
513000 64.4669
514000 64.4853
515000 64.4522
516000 64.4975
517000 64.5267
518000 64.5207
519000 64.4667
520000 64.4766
521000 64.4636
522000 64.4187
523000 64.4206
524000 64.3961
525000 64.4269
526000 64.5118
527000 64.5553
528000 64.5649
529000 64.5233
530000 64.5128
531000 64.4984
532000 64.4934
533000 64.4327
534000 64.3985
535000 64.4327
536000 64.4459
537000 64.5036
538000 64.4773
539000 64.465
540000 64.477
541000 64.489
542000 64.481
543000 64.4617
544000 64.4709
545000 64.4317
546000 64.3346
547000 64.2573
548000 64.2555
549000 64.2319
550000 64.2243
551000 64.2793
552000 64.32
553000 64.2711
554000 64.294
555000 64.2888
556000 64.2487
557000 64.2578
558000 64.1962
559000 64.1976
560000 64.1379
561000 64.0797
562000 64.0326
563000 64.048
564000 64.0284
565000 64.0313
566000 63.9659
567000 63.9535
568000 63.9814
569000 63.9016
570000 63.9247
571000 63.8535
572000 63.9073
573000 63.9188
574000 63.8552
575000 63.839
576000 63.8677
577000 63.8438
578000 63.8645
579000 63.8791
580000 63.8601
581000 63.8537
582000 63.8021
583000 63.7927
584000 63.8418
585000 63.8629
586000 63.8626
587000 63.865
588000 63.8681
589000 63.8103
590000 63.756
591000 63.7625
592000 63.8016
593000 63.7856
594000 63.7626
595000 63.7661
596000 63.7981
597000 63.7964
598000 63.7365
599000 63.7358
600000 63.7668
601000 63.7322
602000 63.7689
603000 63.776
604000 63.793
605000 63.7565
606000 63.7687
607000 63.7809
608000 63.7923
609000 63.8019
610000 63.8228
611000 63.834
612000 63.8299
613000 63.8422
614000 63.8159
615000 63.8383
616000 63.8333
617000 63.839
618000 63.8634
619000 63.9048
620000 63.8812
621000 63.9076
622000 63.918
623000 63.9056
624000 63.9118
625000 63.8775
626000 63.9008
627000 63.9419
628000 63.9824
629000 64.0202
630000 63.967
631000 63.9998
632000 64.0097
633000 64.0214
634000 64.0315
635000 64.0594
636000 64.0214
637000 63.9909
638000 64.0371
639000 64.0388
640000 64.0755
641000 64.0858
642000 64.0983
643000 64.1444
644000 64.1542
645000 64.1434
646000 64.134
647000 64.1753
648000 64.1729
649000 64.1327
650000 64.1052
651000 64.1372
652000 64.1199
653000 64.1111
654000 64.1055
655000 64.0527
656000 64.0543
657000 64.0644
658000 64.0274
659000 64.0124
660000 64.0252
661000 64.0134
662000 64.0098
663000 64.0016
664000 64.0176
665000 64.0236
666000 63.994
667000 63.9898
668000 63.9415
669000 63.9716
670000 63.9859
671000 63.9811
672000 63.9687
673000 63.9745
674000 63.981
675000 63.986
676000 63.999
677000 64.0207
678000 64.0013
679000 63.9998
680000 64.0129
681000 64.0162
682000 64.0146
683000 64.0384
684000 64.0405
685000 64.0638
686000 64.05
687000 64.0607
688000 64.0819
689000 64.0211
690000 64.0005
691000 64.0083
692000 64.0003
693000 63.9342
694000 63.9043
695000 63.896
696000 63.8916
697000 63.8964
698000 63.9071
699000 63.9106
700000 63.9142
701000 63.9015
702000 63.9121
703000 63.9309
704000 63.9329
705000 63.9315
706000 63.9473
707000 63.9236
708000 63.8766
709000 63.8775
710000 63.9137
711000 63.9497
712000 63.937
713000 63.9427
714000 63.9692
715000 63.95
716000 63.9273
717000 63.8992
718000 63.9477
719000 63.9083
720000 63.8825
721000 63.8824
722000 63.905
723000 63.9158
724000 63.8852
725000 63.8468
726000 63.8498
727000 63.8847
728000 63.87
729000 63.8799
730000 63.899
731000 63.8866
732000 63.9047
733000 63.8875
734000 63.8815
735000 63.8687
736000 63.9091
737000 63.9119
738000 63.9139
739000 63.9239
740000 63.9519
741000 63.9668
742000 63.9899
743000 63.9753
744000 63.9675
745000 63.9654
746000 63.9614
747000 63.936
748000 63.9276
749000 63.9415
750000 63.9377
751000 63.9625
752000 63.9668
753000 63.9919
754000 63.9478
755000 63.9289
756000 63.9578
757000 63.9608
758000 63.9698
759000 63.9524
760000 63.9498
761000 63.9565
762000 63.9511
763000 63.998
764000 63.9749
765000 63.9708
766000 63.9954
767000 64.0051
768000 63.9971
769000 63.9834
770000 64.0149
771000 64.0346
772000 64.0538
773000 64.0803
774000 64.0842
775000 64.0659
776000 64.0403
777000 64.0821
778000 64.0965
779000 64.1096
780000 64.1221
781000 64.1285
782000 64.0967
783000 64.0958
784000 64.1185
785000 64.0809
786000 64.0762
787000 64.0884
788000 64.0563
789000 64.0508
790000 64.0401
791000 64.0415
792000 64.0476
793000 64.0223
794000 64.0495
795000 64.0839
796000 64.1023
797000 64.091
798000 64.1192
799000 64.1162
800000 64.1288
801000 64.1118
802000 64.1025
803000 64.0878
804000 64.0753
805000 64.0664
806000 64.095
807000 64.0861
808000 64.0503
809000 64.0542
810000 64.0391
811000 64.0369
812000 64.0681
813000 64.0743
814000 64.0636
815000 64.0739
816000 64.0998
817000 64.0995
818000 64.1097
819000 64.1291
820000 64.1392
821000 64.1334
